Gene_id	Chromosome	Gene_Start	Gene_End
OG_0001862	NC_062234.1	6844	33931
OG_0017668	NC_062234.1	30180	91203
OG_0018902	NC_062234.1	92324	112890
OG_0007990	NC_062234.1	98551	125945
OG_0015315	NC_062234.1	112777	187524
OG_0011938	NC_062234.1	173752	195590
OG_0004227	NC_062234.1	190231	219095
OG_0008089	NC_062234.1	216969	238298
OG_0011295	NC_062234.1	229789	253322
OG_0018299	NC_062234.1	236416	256975
OG_0005705	NC_062234.1	244253	266447
OG_0017097	NC_062234.1	251672	272502
OG_0012726	NC_062234.1	288184	308789
OG_0013683	NC_062234.1	315742	339368
OG_0012045	NC_062234.1	340521	363679
OG_0017582	NC_062234.1	352494	373630
OG_0016935	NC_062234.1	355969	377286
OG_0001411	NC_062234.1	379603	401024
OG_0009735	NC_062234.1	396400	421066
OG_0000540	NC_062234.1	418236	442221
OG_0011586	NC_062234.1	434412	456616
OG_0017878	NC_062234.1	438196	458616
OG_0002571	NC_062234.1	444998	472020
OG_0008165	NC_062234.1	456882	480836
OG_0018362	NC_062234.1	467023	489689
OG_0008340	NC_062234.1	502345	536718
OG_0011856	NC_062234.1	568115	592708
OG_0000314	NC_062234.1	576224	606251
OG_0009448	NC_062234.1	658250	686080
OG_0016393	NC_062234.1	674612	695911
OG_0017446	NC_062234.1	697399	718799
OG_0014347	NC_062234.1	788565	855553
OG_0014345	NC_062234.1	924166	1014937
OG_0007911	NC_062234.1	1112679	1140380
OG_0016131	NC_062234.1	1124481	1155899
OG_0017381	NC_062234.1	1148253	1174937
OG_0017349	NC_062234.1	1156795	1177757
OG_0009358	NC_062234.1	1162297	1198181
OG_0000404	NC_062234.1	1181690	1218224
OG_0006163	NC_062234.1	1210666	1231370
OG_0002510	NC_062234.1	1218884	1239888
OG_0007806	NC_062234.1	1229546	1251680
OG_0012449	NC_062234.1	1232994	1256438
OG_0013256	NC_062234.1	1249024	1271211
OG_0016666	NC_062234.1	1257987	1282794
OG_0003207	NC_062234.1	1264549	1286545
OG_0002752	NC_062234.1	1278490	1362415
OG_0007605	NC_062234.1	1359486	1407990
OG_0006310	NC_062234.1	1393267	1424278
OG_0014066	NC_062234.1	1409922	1475500
OG_0018619	NC_062234.1	1482614	1503861
OG_0012472	NC_062234.1	1500836	1539432
OG_0008059	NC_062234.1	1521898	1549709
OG_0000602	NC_062234.1	1552499	1612140
OG_0016457	NC_062234.1	1602903	1630602
OG_0008025	NC_062234.1	1669686	1721293
OG_0013585	NC_062234.1	1705075	1794118
OG_0014115	NC_062234.1	1780466	1810712
OG_0013527	NC_062234.1	1792345	1820753
OG_0002039	NC_062234.1	2105643	2191181
OG_0002038	NC_062234.1	2174222	2204054
OG_0015206	NC_062234.1	2187054	2228115
OG_0000949	NC_062234.1	2232682	2253719
OG_0013107	NC_062234.1	2378571	2423952
OG_0003329	NC_062234.1	2470929	2494969
OG_0009075	NC_062234.1	2479319	2541397
OG_0016259	NC_062234.1	2690274	2721703
OG_0017060	NC_062234.1	2702444	2726263
OG_0015263	NC_062234.1	3026954	3057456
